,praise_comment
102,吹爆小温！作为一枚顶级恐怖片导演小温的审美实在太优异了！！！视听水准甚至超过watchmen成为我心中的NO.1！很中二，很西游记，奇妙的没有一个我特别喜欢的演员但每个角色都很讨喜。什么时候正儿八经的西游记能到人家这种工业水准啊…（哀怨的看着老怪…（最后！克总万岁！！！！！
103,超出预期的好看！摄影好棒！温子仁拍的意大利和沙漠等好几个地方都美轮美奂 尤其是多场海戏 对于我一个热爱大海的人来说简直视觉盛宴！虽是英雄式电影但剧情其实也不低幼 寻找三叉戟带上了和平以及母爱是个好思路 而且诚意满满的143分钟里打斗戏拳拳到肉也是非常过瘾的！湄拉的红头发很美！今次真的要吹爆温子仁！！！
104,看完最大感受是P1S 正联 雕像即将大热卖、、
105,4.5 节奏非常快！有DC的史诗情怀又不失幽默。就是海王和媚拉的爱情戏太尴尬了，突然两人就牵手了，突然就接吻了，我一脸懵逼。还有就是打斗戏加化妆和哲学都非常东方。所有女性角色都磨皮美颜过吧。
106,漫威电影宇宙像英雄聚义，一个个先单打独斗，最后为共同信念合为一股。DC电影宇宙似乎反过来，登台大合唱，再轮番solo。想了想，原来这是偶像套路啊，那我们只管打call就好啦。DC还有个风格，就是每个人的故事都恨不得讲许多，情节非常饱和，尤其考验导演。还好海洋里无分上下左右，温导的旋转镜头和画面切换游刃有余，让童话与恐怖片、粗暴与优雅并存。印象深刻的画面很多，亚瑟与湄拉潜入海沟国的场面分明是多雷的《神曲》，冲上海岸小镇的巡逻艇让人想到《幽灵船最后一次航行》，灯塔就想到显克微支《灯塔看守人》，地心藏海则是《地心游记》。人类眼中的海与亚特兰蒂斯人的海都游历遍了。另外，梗也不少：先是克总，接着海皇祭坛和七海帝国仿佛圣斗士，Kraken竟然是八尾，沙漠桥段又像蝎子王之类冒险剧。好了温导，不要去拍鬼片了，继续这系列可好？
107,四颗星分别给：克苏鲁元素（第一幕从房间内到灯塔上的转场镜头特意给了H.P.洛夫克拉夫特的名字一个特写）、古罗马元素（象征荣耀的华美雕塑变成沉没海底的断壁残垣）、性感的渔夫亚瑟王与美丽的亚特兰蒂斯女王。
108,"7.9
超英的崛起都大同小异，就看特效能否合乎心意，近身肉搏屋顶跑酷好似素鸡动作戏，海沟下潜展现恐怖才华功力，一路寻宝风景瑰丽，角色众多还数妮可最为美丽，别吹什么海底版魔界指环王星球大战这就是属于温子仁的西游记。"
109,温子仁！温子仁！温子仁！还有妮可基德曼！然后没有了！
110,故事虽然从开始到彩蛋都蛮俗套的，但去电影院看大片就是看巨幕特效啊，反正第一次进入亚特兰蒂斯王国和海王举着三叉戟出来的时候，我都惊叹的“哇”了一声就够了，全程爆燃，同时满足了男性观众和女性观众的荷尔蒙刺激和激情幻想，把近五年的大片高潮全部糅合在一起，导演就是这么牛，想去二刷
111,是很好看的呀，很high且有趣。海王真是性感得犯罪。但真的太长了啊，就好吃的吃多了也腻。
112,超炫的海底世界，给人十足的视觉享受，而且剧情也超级好看，再加上赏心悦目的颜，不错，真是不错！
113,dc放弃了剧情，全靠特技。海底阿凡达版夺宝奇兵。这个故事告诉我们，出身不行不要紧，关键是会一门别人不会的外语，出国回来镀个金，就贼牛逼了
114,海底的亚特兰蒂斯世界，就是星战＋阿凡达＋指环王完美融合的世界！show off！Aquaman fucks me!最后一幕太show off！
115,一定要去看iMax，一定要去看iMax，一定要去看iMax，特效吹爆！！！！！明天去二刷！！！！
116,超级大爽片。离《阿凡达》《指环王》这样的经典只差一口气。说到底，还是情节太赶了。作为观影人而言，十分满足，只是少些回味。
117,漫改我还是喜欢这种主线清晰，人物成长路径明确的。海王的个性算是鲜明，当然更鲜明的是他的肌肉。女主作为brainy去搭配，人物的互动和剧情的推动节奏快不尴尬。海底世界做得很漂亮。水底打斗的镜头看得出费了不少脑筋。追击戏也带感。爆米花电影看得挺爽快。
118,神奇瑰丽的水下世界太玄幻了吧，特技我们越看越有欠缺，狠狠地学习；演员好好看，关键演技还好，收尾来看值了！
119,『海王』的故事告诉我们：多会一种语言有多么重要~
